Time_sec,Temperature_degC
39.25,19.07
39.3,19.07
39.35,19.07
39.4,19.07
39.45,19.07
39.5,19.07
39.55,19.07
39.6,18.58
39.65,19.07
39.7,19.07
39.75,19.07
39.8,19.07
39.851,19.07
39.9,19.07
39.95,19.07
40,19.07
40.05,19.07
40.1,18.58
40.15,19.07
40.2,18.58
40.25,19.07
40.3,19.07
40.35,19.07
40.4,19.07
40.45,18.58
40.5,19.07
40.55,19.07
40.6,19.07
40.65,19.07
40.7,19.07
40.75,19.07
40.8,19.07
40.85,19.07
40.9,19.07
40.95,18.58
41,19.07
41.05,19.07
41.1,19.07
41.15,19.07
41.2,19.07
41.25,19.07
41.3,18.58
41.35,19.07
41.4,19.07
41.45,19.07
41.5,19.07
41.55,18.58
41.6,18.58
41.65,19.07
41.7,18.58
41.75,18.58
41.8,18.58
41.85,18.58
41.9,18.58
41.95,18.58
42,18.58
42.05,18.58
42.1,18.58
42.15,18.58
42.2,18.58
42.25,18.58
42.3,18.58
42.35,19.07
42.4,18.58
42.45,19.07
42.5,18.58
42.55,19.07
42.6,18.58
42.65,18.58
42.7,19.07
42.75,19.07
42.8,18.58
42.85,19.07
42.9,19.07
42.95,19.07
43,19.07
43.051,19.07
43.1,19.07
43.15,19.07
43.2,18.58
43.25,19.07
43.3,-61.57
43.35,-61.57
43.4,19.07
43.45,19.07
43.5,19.07
43.55,19.07
43.6,19.07
43.65,19.07
43.7,19.07
43.75,19.07
43.8,19.07
43.85,19.07
43.9,19.07
43.95,19.07
44,19.07
44.05,18.58
44.1,19.07
44.15,19.07
44.2,19.07
44.25,19.07
44.3,19.07
44.35,19.07
44.4,19.07
44.45,19.07
44.5,19.07
44.55,19.07
44.6,19.07
44.65,19.07
44.7,19.07
44.75,19.07
44.8,19.07
44.85,19.07
44.9,19.07
44.95,19.07
45,19.56
45.05,19.07
45.1,19.07
45.15,19.07
45.2,19.07
45.25,19.07
45.3,19.07
45.35,19.07
45.4,18.58
45.45,19.07
45.5,19.07
45.55,18.58
45.6,19.07
45.65,19.07
45.7,18.58
45.75,19.07
45.8,18.58
45.85,19.07
45.9,19.07
45.95,19.07
46,18.58
46.05,18.58
46.1,18.58
46.15,18.58
46.2,19.07
46.251,18.58
46.3,19.07
46.35,18.58
46.4,18.58
46.45,19.07
46.5,18.58
46.55,18.58
46.6,18.58
46.65,18.58
46.7,18.58
46.75,19.07
46.8,19.07
46.85,18.58
46.9,19.07
46.95,18.58
47,18.58
47.05,19.07
47.1,18.58
