alt,temp R,presure lb/ft^2,density slug/ft^3,,
235,517.84999,2098.282564,0.002360589119,,
236,517.846424,2098.206583,0.002360519894,,
237,517.842858,2098.130605,0.002360450671,,
238,517.839292,2098.054628,0.00236038145,,
239,517.835726,2097.978654,0.00236031223,,
240,517.83216,2097.902682,0.002360243012,,
241,517.828594,2097.826712,0.002360173795,,
242,517.825028,2097.750744,0.00236010458,,
243,517.821462,2097.674779,0.002360035366,,
244,517.817896,2097.598815,0.002359966154,,
245,517.81433,2097.522854,0.002359896944,,
246,517.810764,2097.446896,0.002359827735,,
247,517.807198,2097.370939,0.002359758527,,
248,517.803632,2097.294985,0.002359689321,,
249,517.800066,2097.219033,0.002359620117,,
250,517.7965,2097.143083,0.002359550914,,
251,517.792934,2097.067135,0.002359481713,,
252,517.789368,2096.99119,0.002359412514,,
253,517.785802,2096.915247,0.002359343315,,
254,517.782236,2096.839306,0.002359274119,,
255,517.77867,2096.763367,0.002359204924,,
256,517.775104,2096.687431,0.002359135731,,
257,517.771538,2096.611497,0.002359066539,,
258,517.767972,2096.535565,0.002358997348,,
259,517.764406,2096.459635,0.00235892816,,
260,517.76084,2096.383707,0.002358858972,,
261,517.757274,2096.307782,0.002358789787,,
262,517.753708,2096.231859,0.002358720603,,
263,517.750142,2096.155938,0.00235865142,,
264,517.746576,2096.080019,0.002358582239,,
265,517.74301,2096.004103,0.00235851306,,
266,517.739444,2095.928189,0.002358443882,,
267,517.735878,2095.852277,0.002358374705,,
268,517.732312,2095.776367,0.002358305531,,
269,517.728746,2095.700459,0.002358236357,,
270,517.72518,2095.624554,0.002358167186,,
271,517.721614,2095.548651,0.002358098015,,
272,517.718048,2095.47275,0.002358028847,,
273,517.714482,2095.396852,0.00235795968,,
274,517.710916,2095.320955,0.002357890514,,
275,517.70735,2095.245061,0.00235782135,,
276,517.703784,2095.169169,0.002357752188,,
277,517.700218,2095.093279,0.002357683027,,
278,517.696652,2095.017392,0.002357613868,,
279,517.693086,2094.941507,0.00235754471,,
280,517.68952,2094.865624,0.002357475554,,
281,517.685954,2094.789743,0.0023574064,,
282,517.682388,2094.713864,0.002357337246,,
283,517.678822,2094.637988,0.002357268095,,
284,517.675256,2094.562114,0.002357198945,,
285,517.67169,2094.486242,0.002357129797,,
286,517.668124,2094.410372,0.00235706065,,
287,517.664558,2094.334505,0.002356991504,,
288,517.660992,2094.25864,0.002356922361,,
289,517.657426,2094.182777,0.002356853219,,
290,517.65386,2094.106916,0.002356784078,,
291,517.650294,2094.031057,0.002356714939,,
292,517.646728,2093.955201,0.002356645801,,
293,517.643162,2093.879347,0.002356576665,,
294,517.639596,2093.803495,0.002356507531,,
295,517.63603,2093.727645,0.002356438398,,
296,517.632464,2093.651798,0.002356369267,,
297,517.628898,2093.575953,0.002356300137,,
298,517.625332,2093.50011,0.002356231009,,
299,517.621766,2093.424269,0.002356161882,,
300,517.6182,2093.348431,0.002356092757,,
301,517.614634,2093.272594,0.002356023633,,
302,517.611068,2093.19676,0.002355954511,,
303,517.607502,2093.120928,0.002355885391,,
304,517.603936,2093.045099,0.002355816272,,
